Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
res-EWB6WO2A,BigQuery,233.0245,Requests,us-east1,68.7,40.39,52144618310,58883692028.0,2024-01-07 00:13:00,2024-05-07 22:14:00,8.49,1978.38,1978,164174
res-BZ5W9M5K,AI Platform,42.3,Hours,asia-northeast1,59.91,83.97,23645124707,29861999523.0,2024-01-07 02:06:00,2024-02-07 20:24:00,9.01,381.12,381,31623
res-P7GN3K3R,Cloud NAT,369.9806,GB,europe-west1,60.36,66.74,37635039600,38102762007.0,2024-01-07 02:48:00,2024-05-07 04:10:00,5.75,2127.39,2127,176541
res-RF559IVM,Cloud Spanner,933.6444,Requests,us-west1,92.88,35.54,38215807762,45909593430.0,2024-01-07 02:57:00,2024-05-07 07:28:00,2.74,2558.19,2558,212314
res-M3ZBKI2V,Cloud Memorystore,717.5885,Requests,us-central1,79.24,95.25,81736099653,88202065814.0,2024-01-07 03:32:00,2024-02-07 14:33:00,1.08,775.0,775,64325
res-A7Y0GW1C,Cloud Functions,34.2833,Hours,europe-west1,10.03,96.22,94135245422,98449735815.0,2024-01-07 04:28:00,2024-02-07 14:45:00,6.14,210.5,210,17430
res-5LLLKIJS,BigQuery,668.9061,Requests,northamerica-northeast1,64.24,46.71,66275745278,75243804180.0,2024-01-07 07:41:00,2024-04-07 10:25:00,5.96,3986.68,3987,330921
res-65KB06P4,Dataflow,103.9167,Hours,asia-east1,93.48,32.8,32475050333,40333849858.0,2024-01-07 08:59:00,2024-05-07 16:54:00,8.52,885.37,885,73455
res-BPP2I4JY,Cloud Spanner,531.0639,Requests,asia-east1,75.38,12.43,39898883632,48932096910.0,2024-01-07 09:54:00,2024-05-07 10:35:00,2.85,1513.53,1514,125662
res-OPE31JB2,Kubernetes Engine,58.8167,Hours,europe-north1,92.84,49.35,38117025024,46310224844.0,2024-01-07 09:56:00,2024-03-07 20:45:00,9.93,584.05,584,48472
res-LWK6DJPU,Dataflow,98.0667,Hours,australia-southeast1,32.91,22.82,99728008625,99735769398.0,2024-01-07 10:58:00,2024-05-07 13:02:00,6.66,653.12,653,54199
res-DXKGGUD7,Cloud SQL,439.1355,GB,asia-east1,0.69,57.08,35134645139,37251592742.0,2024-01-07 11:10:00,2024-06-07 21:17:00,7.67,3368.17,3368,279544
res-MZB1S515,Cloud Storage,805.6513,Requests,southamerica-east1,53.72,31.97,51944180329,58006946262.0,2024-01-07 15:32:00,2024-03-07 12:43:00,6.4,5156.17,5156,427948
res-0PKXQAXF,Cloud Endpoints,716.3448,GB,us-east1,85.67,57.03,13501372933,20403329092.0,2024-01-07 15:41:00,2024-04-07 16:28:00,6.11,4376.87,4377,363291
res-3ECMMHD3,Cloud Armor,882.3972,Requests,asia-east1,38.05,9.48,45169397512,54583521857.0,2024-01-07 16:40:00,2024-05-07 20:30:00,7.81,6891.52,6892,572036
res-WK1ERI38,Compute Engine,134.2333,Hours,asia-east1,64.78,85.55,86766791508,90442562221.0,2024-01-07 17:03:00,2024-07-07 07:17:00,4.61,618.82,619,51377
res-5O0LZKYC,BigQuery,477.7508,Requests,europe-north1,63.32,46.75,88256196324,95036019889.0,2024-01-07 19:51:00,2024-04-07 21:24:00,7.49,3578.35,3578,296974
res-BIZLO9XV,Cloud Load Balancing,749.4753,Requests,europe-west3,85.61,27.21,34512266113,42396858117.0,2024-01-07 20:11:00,2024-07-07 03:39:00,6.92,5186.37,5186,430438
res-DJYS3EO0,Cloud Build,113.9094,GB,europe-north1,60.01,78.71,25364257534,35178408351.0,2024-01-07 21:22:00,2024-07-07 12:29:00,4.63,527.4,527,43741
res-A1U5Y9Z5,Cloud VPC,466.6962,Requests,europe-west3,40.42,70.42,79766617491,88136650406.0,2024-01-08 00:18:00,2024-03-08 23:54:00,7.6,3546.89,3547,294401
res-LHZFUPDP,Cloud VPN,335.9038,GB,asia-southeast1,63.9,21.88,95554380366,98928289894.0,2024-01-08 01:40:00,2024-02-08 12:34:00,2.1,705.4,705,58515
res-TH2HV714,Firestore,668.343,GB,europe-west3,57.12,76.38,36394756934,46156760944.0,2024-01-08 03:28:00,2024-06-08 02:35:00,8.9,5948.25,5948,493684
res-OZF4OSTM,Cloud Functions,111.4167,Hours,europe-west1,29.83,54.6,81505567289,83707185300.0,2024-01-08 04:26:00,2024-05-08 19:51:00,7.29,812.23,812,67396
res-7DE9JX1O,Cloud VPN,470.6748,GB,northamerica-northeast1,0.67,93.53,75117876119,78971281541.0,2024-01-08 04:56:00,2024-05-08 03:45:00,9.45,4447.88,4448,369184
res-88OPB1KK,Pub/Sub,601.8522,Requests,asia-east1,31.71,70.24,28038913731,37441336007.0,2024-01-08 05:07:00,2024-05-08 04:53:00,3.76,2262.96,2263,187829
res-JWK1VY6C,Cloud VPC,217.147,GB,southamerica-east1,27.43,84.27,83416670685,88105164618.0,2024-01-08 06:24:00,2024-05-08 01:48:00,7.5,1628.6,1629,135207
res-13MDNGII,BigQuery,920.6326,GB,europe-west3,98.57,99.09,54809300779,55666754879.0,2024-01-08 08:09:00,2024-04-08 16:19:00,8.89,8184.42,8184,679272
res-VTF7HJFJ,Cloud Armor,175.9606,Requests,northamerica-northeast1,90.66,58.44,47065624520,47532415414.0,2024-01-08 10:35:00,2024-06-08 13:35:00,2.38,418.79,419,34777
res-F5EMGMM8,Cloud SQL,948.2171,GB,northamerica-northeast1,22.26,20.26,97371163399,98298454729.0,2024-01-08 11:01:00,2024-06-08 12:24:00,5.6,5310.02,5310,440730
res-VYZLUG57,Firestore,821.4108,Requests,asia-southeast1,95.03,33.02,31067732424,31349574604.0,2024-01-08 11:19:00,2024-05-08 09:12:00,4.18,3433.5,3434,285022
res-SJ11891I,Cloud CDN,920.1814,GB,asia-southeast1,11.67,6.75,41021653388,41645168947.0,2024-01-08 16:15:00,2024-03-08 21:48:00,5.78,5318.65,5319,441477
res-0IP8J7AC,Compute Engine,109.15,Hours,northamerica-northeast1,46.61,20.63,79400349492,80102703395.0,2024-01-08 16:24:00,2024-06-08 05:33:00,8.91,972.53,973,80759
res-Z35RBDV4,Cloud Endpoints,851.9663,Requests,asia-east1,16.04,92.44,15703469920,22933387070.0,2024-01-08 16:37:00,2024-03-08 21:30:00,7.58,6457.9,6458,536014
res-P7E29M8B,Cloud Data Fusion,546.5469,Requests,us-east1,98.75,78.64,49438110444,55728177096.0,2024-01-08 16:45:00,2024-04-08 13:19:00,3.32,1814.54,1815,150645
res-IZW2W4XT,Cloud VPN,160.4866,Requests,us-central1,34.35,88.63,60339419641,64894726306.0,2024-01-08 20:57:00,2024-03-08 10:49:00,2.85,457.39,457,37931
res-ST6BAJ2N,Cloud Dataproc,954.9843,Requests,europe-north1,92.72,70.42,77097035547,82685933273.0,2024-01-08 22:24:00,2024-07-08 06:54:00,5.24,5004.12,5004,415332
res-IPSRXLS0,Cloud Spanner,587.1242,GB,europe-west1,24.73,11.63,38218995247,46836316447.0,2024-02-07 00:58:00,2024-06-07 01:13:00,6.25,3669.53,3670,304610
res-FKBX47G9,Cloud Run,38.2167,Hours,europe-north1,41.18,81.14,21583247587,25875971843.0,2024-02-07 01:26:00,2024-03-07 15:39:00,4.71,180.0,180,14940
res-5RZ6TIFT,Kubernetes Engine,82.9,Hours,asia-northeast1,44.88,94.96,13212279998,17308367361.0,2024-02-07 02:21:00,2024-05-07 13:15:00,6.66,552.11,552,45816
res-MHZNFQHE,Cloud VPC,178.9791,GB,asia-northeast1,74.45,59.61,51923213434,61022206143.0,2024-02-07 07:10:00,2024-07-07 00:59:00,2.1,375.86,376,31208
res-58DCP6N2,Cloud Build,304.946,GB,europe-west1,53.64,27.09,63037904388,70624945076.0,2024-02-07 08:08:00,2024-06-07 11:58:00,5.61,1710.75,1711,142013
res-AOZJGYUX,Pub/Sub,290.508,Requests,europe-west3,64.4,61.47,82517483439,90231208571.0,2024-02-07 08:34:00,2024-06-07 15:44:00,9.99,2902.17,2902,240866
res-A4ULLZJW,Cloud Storage,340.1787,GB,us-west1,13.58,33.18,50524366416,59630573021.0,2024-02-07 09:16:00,2024-07-07 09:25:00,5.29,1799.55,1800,149400
res-EJM2VMLK,Cloud Spanner,87.8738,GB,europe-west1,97.45,80.05,89316801399,89912632274.0,2024-02-07 11:06:00,2024-08-07 02:42:00,2.5,219.68,220,18260
res-3SESG8V7,Cloud Memorystore,346.6752,GB,asia-east1,80.96,95.33,28698797112,36231433469.0,2024-02-07 11:20:00,2024-08-07 05:14:00,1.54,533.88,534,44322
res-UEL2KJBD,Cloud VPC,298.0653,GB,us-west1,66.82,57.94,24527235493,26241930001.0,2024-02-07 12:35:00,2024-05-07 16:16:00,7.34,2187.8,2188,181604
res-9VSL8AKL,Cloud CDN,687.6223,GB,asia-southeast1,71.14,94.07,38892223577,40407543548.0,2024-02-07 14:58:00,2024-06-07 07:24:00,2.39,1643.42,1643,136369
res-1RO85N0I,Compute Engine,67.75,Hours,southamerica-east1,40.24,94.45,97156852662,98079959949.0,2024-02-07 16:06:00,2024-05-07 11:51:00,4.51,305.55,306,25398
res-8DMDOAEB,Cloud Load Balancing,992.0661,GB,southamerica-east1,59.72,17.93,49573513144,57377379156.0,2024-02-07 16:07:00,2024-04-07 01:47:00,4.63,4593.27,4593,381219
res-J8G7NJAD,Cloud Storage,145.9373,Requests,northamerica-northeast1,9.59,28.75,81987854667,83659890497.0,2024-02-07 17:05:00,2024-04-07 13:56:00,6.25,912.11,912,75696
res-C7XKMCFZ,Cloud Memorystore,360.35,Requests,asia-east1,93.46,86.06,11333949670,12295147258.0,2024-02-07 17:46:00,2024-05-07 10:19:00,8.21,2958.47,2958,245514
res-YFTXHZ6V,Cloud VPC,531.6863,GB,us-west1,53.93,12.52,3696418486,12776658300.0,2024-02-07 18:46:00,2024-07-07 02:27:00,9.6,5104.19,5104,423632
res-C2BO9C9A,Cloud Build,359.6147,GB,asia-northeast1,15.22,33.29,74126443926,83900514981.0,2024-02-07 19:13:00,2024-04-07 20:08:00,3.06,1100.42,1100,91300
res-C2XM3T1J,Dataflow,40.4833,Hours,asia-east1,85.18,32.81,24102967462,28484820198.0,2024-02-07 20:56:00,2024-04-07 13:25:00,6.88,278.53,279,23157
res-6N22OLZ8,Cloud Spanner,358.3231,Requests,asia-northeast1,59.61,29.73,4720168247,9704777665.0,2024-02-07 23:29:00,2024-04-07 10:37:00,6.24,2235.94,2236,185588
res-T0HRH0Q7,Cloud Build,825.9177,GB,us-east1,95.54,1.83,97624944269,101582000000.0,2024-02-08 00:36:00,2024-07-08 16:46:00,5.26,4344.33,4344,360552
res-HLWAGRJX,Pub/Sub,565.1884,GB,us-east1,5.46,98.89,87565187937,92048056617.0,2024-02-08 00:52:00,2024-03-08 16:36:00,7.16,4046.75,4047,335901
res-AVUOMRX1,Cloud SQL,575.5324,GB,us-east1,45.97,23.87,1791250551,5271422916.0,2024-02-08 01:07:00,2024-06-08 02:30:00,6.94,3994.19,3994,331502
res-VVSWUAAE,Cloud VPC,371.4837,GB,us-central1,92.77,41.13,33496707994,39632106621.0,2024-02-08 01:39:00,2024-05-08 08:21:00,1.13,419.78,420,34860
res-U0XU6E1T,Cloud Dataproc,779.1763,Requests,asia-east1,80.81,91.42,95372099760,96841264412.0,2024-02-08 02:38:00,2024-03-08 06:37:00,4.23,3295.92,3296,273568
res-PJBYZUOO,Cloud Dataproc,376.8075,Requests,us-east1,20.6,1.99,39391998186,44986088106.0,2024-02-08 03:07:00,2024-07-08 04:02:00,1.35,508.69,509,42247
res-283P4R0H,Firestore,32.4517,GB,northamerica-northeast1,43.53,85.79,88791419619,89178594951.0,2024-02-08 04:11:00,2024-05-08 05:28:00,7.17,232.68,233,19339
res-GZ7OSG7F,Cloud Interconnect,402.6602,Requests,europe-north1,34.9,34.24,4051874744,6569214624.0,2024-02-08 04:53:00,2024-07-08 01:59:00,9.57,3853.46,3853,319799
res-OIFGN9S6,Cloud CDN,624.6729,Requests,australia-southeast1,37.12,15.38,36700200498,39984223729.0,2024-02-08 05:59:00,2024-06-08 03:48:00,4.7,2935.96,2936,243688
res-TZCL1KUV,Dataflow,138.45,Hours,europe-west3,1.0,52.13,8497823584,12491610322.0,2024-02-08 09:11:00,2024-08-08 03:38:00,6.43,890.23,890,73870
res-J4TRG8XL,Cloud Functions,28.6167,Hours,asia-east1,88.9,43.58,51467578269,54120045491.0,2024-02-08 15:38:00,2024-03-08 20:15:00,4.45,127.34,127,10541
res-WZAXU5QI,Cloud CDN,450.6231,Requests,us-west1,60.91,22.03,98546508449,103155000000.0,2024-02-08 15:50:00,2024-05-08 08:45:00,5.7,2568.55,2569,213227
res-UWUK1WBC,Cloud Interconnect,395.8666,Requests,us-west1,31.76,4.0,90103791429,96109228818.0,2024-02-08 15:51:00,2024-04-08 14:00:00,6.32,2501.88,2502,207666
res-ZZQL1YQ2,Cloud Run,30.7,Hours,australia-southeast1,93.43,60.69,90173241605,93835895466.0,2024-02-08 17:51:00,2024-04-08 00:33:00,8.96,275.07,275,22825
res-8RTLG18B,Compute Engine,39.0333,Hours,asia-east1,28.36,60.41,17071073345,19720613386.0,2024-02-08 18:25:00,2024-04-08 09:27:00,4.19,163.55,164,13612
res-7MPLP0WF,Cloud Run,139.5333,Hours,us-central1,55.83,51.05,75535230544,77049187501.0,2024-02-08 20:27:00,2024-08-08 15:59:00,1.89,263.72,264,21912
res-2SCCW6WM,Pub/Sub,725.2437,Requests,southamerica-east1,8.5,97.79,53813909020,59457074076.0,2024-02-08 20:29:00,2024-05-08 20:48:00,1.08,783.26,783,64989
res-736OPXF9,Cloud Run,110.5,Hours,australia-southeast1,54.59,9.18,32991739742,39729741599.0,2024-02-08 22:30:00,2024-07-08 13:00:00,9.73,1075.16,1075,89225
res-XK8ZUWJA,Firestore,812.9251,GB,europe-west1,54.66,80.7,28070401971,36292263633.0,2024-02-08 23:18:00,2024-05-08 04:17:00,8.7,7072.45,7072,586976
res-NNEGV70F,Container Registry,401.5322,Requests,asia-southeast1,65.74,16.9,50360694511,55594084151.0,2024-02-08 23:28:00,2024-05-08 21:54:00,2.44,979.74,980,81340
res-SPITPRK0,Compute Engine,103.5667,Hours,us-central1,64.54,62.33,76959968688,84668376889.0,2024-02-08 23:55:00,2024-07-08 07:29:00,4.88,505.41,505,41915
res-359KKTUA,Cloud Spanner,586.1986,Requests,southamerica-east1,58.98,64.55,14979783091,18422117013.0,2024-03-07 00:41:00,2024-04-07 07:48:00,1.79,1049.3,1049,87067
res-TIDGZD5D,Cloud Memorystore,116.0494,Requests,southamerica-east1,66.47,81.04,33771852558,37369213590.0,2024-03-07 02:50:00,2024-07-07 04:55:00,8.94,1037.48,1037,86071
res-J19CN3NN,Cloud Functions,100.2167,Hours,southamerica-east1,51.68,40.39,87228922486,88742671577.0,2024-03-07 03:00:00,2024-07-07 07:13:00,7.25,726.57,727,60341
res-73GWCHWA,Cloud Dataproc,79.2424,GB,us-central1,75.84,48.46,94036329618,98895434764.0,2024-03-07 03:46:00,2024-08-07 15:53:00,8.07,639.49,639,53037
res-DH7HJH9O,Kubernetes Engine,28.7833,Hours,northamerica-northeast1,25.53,26.24,39254762176,43503289304.0,2024-03-07 04:12:00,2024-04-07 08:59:00,8.12,233.72,234,19422
res-6LM9YMD7,Cloud NAT,987.5483,Requests,southamerica-east1,64.58,63.3,26239273306,34223805256.0,2024-03-07 04:28:00,2024-07-07 19:51:00,3.21,3170.03,3170,263110
res-UMMHRIG7,Cloud SQL,28.625,GB,asia-southeast1,62.21,85.89,13767173260,23195002465.0,2024-03-07 04:47:00,2024-04-07 17:05:00,3.13,89.6,90,7470
